panelist_id,polarity,term
hugo,forbidden,artificial
hugo,forbidden,bland
aisling,required,price
aisling,required,multipack
aisling,required,lunchbox
aisling,required,kids
aisling,required,careful
aisling,forbidden,premium
aisling,forbidden,gourmet
aisling,forbidden,bespoke
aisling,forbidden,curated
aisling,forbidden,artisanal
helen,required,label
helen,required,quality
helen,required,Pilates
helen,required,substance
helen,required,read
helen,forbidden,curated
helen,forbidden,bespoke
helen,forbidden,vibes
helen,forbidden,journey
helen,forbidden,indulgence
dean,required,multipack
dean,required,price
dean,required,Costco
dean,required,daft
dean,required,laugh
dean,forbidden,premium
dean,forbidden,artisanal
dean,forbidden,plant-based
dean,forbidden,curated
dean,forbidden,bespoke
charlotte,required,quality
charlotte,required,price
charlotte,required,considered
charlotte,required,Waitrose
charlotte,required,ingredient
charlotte,forbidden,mass-market
charlotte,forbidden,generic
charlotte,forbidden,cheap
charlotte,forbidden,boring
charlotte,forbidden,bland
karl,required,evidence
karl,required,claim
karl,required,verify
karl,required,third-party
karl,required,profile
karl,forbidden,lifestyle
karl,forbidden,journey
karl,forbidden,curated
karl,forbidden,vibes
karl,forbidden,bespoke
david,required,cholesterol
david,required,plant proteins
david,required,salt
david,required,reasonable
david,required,considered
david,forbidden,lifestyle
david,forbidden,curated
david,forbidden,vibes
david,forbidden,journey
david,forbidden,bespoke
linda,required,Tesco
linda,required,friend
linda,required,sort
linda,required,bit
linda,required,love
linda,forbidden,macros
linda,forbidden,post-gym
linda,forbidden,curated
linda,forbidden,artisanal
linda,forbidden,bespoke
patrick,required,quality
patrick,required,acceptable
patrick,required,executed
patrick,required,evening
patrick,required,price
patrick,forbidden,mass-market
patrick,forbidden,generic
patrick,forbidden,cheap
patrick,forbidden,bland
patrick,forbidden,boring
rachel,required,claim
rachel,required,verify
rachel,required,evidence
rachel,required,listed
rachel,required,honest
rachel,forbidden,lifestyle
rachel,forbidden,journey
rachel,forbidden,curated
rachel,forbidden,vibes
rachel,forbidden,bespoke
margaret,required,daughter
margaret,required,biscuits
margaret,required,tea
margaret,required,nice
margaret,required,old
margaret,forbidden,macros
margaret,forbidden,post-gym
margaret,forbidden,plant-protein
margaret,forbidden,curated
margaret,forbidden,artisanal
geoffrey,required,reasonable
geoffrey,required,Marks's
geoffrey,required,stated
geoffrey,required,proper
geoffrey,required,plainly
geoffrey,forbidden,vibes
geoffrey,forbidden,curated
geoffrey,forbidden,journey
geoffrey,forbidden,lifestyle
geoffrey,forbidden,bespoke
doreen,required,grandson
doreen,required,tea
doreen,required,custard creams
doreen,required,love
doreen,required,not for me
doreen,forbidden,plant-based
doreen,forbidden,macros
doreen,forbidden,curated
doreen,forbidden,bespoke
doreen,forbidden,artisanal
roger,required,marketing
roger,required,wife
roger,required,daft
roger,required,bar
roger,required,wrapper
roger,forbidden,lifestyle
roger,forbidden,curated
roger,forbidden,bespoke
roger,forbidden,journey
roger,forbidden,vibes
